territory,period,prior_period,quantity,revenue,gross_margin_amount,prior_quantity,prior_revenue,quantity_yoy_growth,revenue_yoy_growth,is_2025_partial,is_partial_period
Batangas,2017-01,2016-01,1017.0,166930.71,166930.71,,,,,False,False
Camarines Norte,2017-01,2016-01,674.0,91021.35,87128.95,,,,,False,False
Camarines Sur,2017-01,2016-01,551.0,72067.2,68668.8,,,,,False,False
Cavite,2017-01,2016-01,4.0,1296.5,1296.5,,,,,False,False
Laguna,2017-01,2016-01,680.0,87587.9,77387.9,,,,,False,False
Marinduque,2017-01,2016-01,128.0,27266.0,27266.0,,,,,False,False
Quezon,2017-01,2016-01,370.0,68734.0,67134.0,,,,,False,False
Batangas,2017-02,2016-02,694.0,130179.57,128395.97,,,,,False,False
Camarines Norte,2017-02,2016-02,397.0,37052.32,37052.32,,,,,False,False
Camarines Sur,2017-02,2016-02,505.0,53650.51,48962.91,,,,,False,False
Cavite,2017-02,2016-02,72.0,28394.64,28010.64,,,,,False,False
Laguna,2017-02,2016-02,3460.0,201212.35,195372.35,,,,,False,False
Marinduque,2017-02,2016-02,137.0,21102.0,20202.0,,,,,False,False
Quezon,2017-02,2016-02,182.0,36994.2,36994.2,,,,,False,False
Batangas,2017-03,2016-03,585.0,91347.58,91164.08,,,,,False,False
Camarines Norte,2017-03,2016-03,251.0,43015.24,41180.04,,,,,False,False
Camarines Sur,2017-03,2016-03,1130.0,67286.97,63730.77,,,,,False,False
Cavite,2017-03,2016-03,114.0,44912.51,44622.51,,,,,False,False
Laguna,2017-03,2016-03,35198.0,333978.1,311378.1,,,,,False,False
Marinduque,2017-03,2016-03,125.0,13334.65,13334.65,,,,,False,False
Quezon,2017-03,2016-03,182.0,36314.4,35034.4,,,,,False,False
Batangas,2017-04,2016-04,622.0,119771.51,119588.01,,,,,False,False
Camarines Norte,2017-04,2016-04,247.0,41972.2,41972.2,,,,,False,False
